"Unique.IDs","Ranking","Anime.Title","Synonyms","Score","Type","Source","Episode.Count","Status","Aired.from","Aired.to","Season","Release.Year","Broadcast","Producers","Licensors","Studio","Genre","Theme","Demographic","Duration","Rating","Popularity.Ranking","Member.Views","Favorite.Marks","Recommended.Numbers","Total.reviews","Anime.URLs","Picture.URLs"
48561,141,"Jujutsu Kaisen 0 Movie","Gekijouban Jujutsu Kaisen 0",8.47,"Movie","Manga",1,"Finished Airing","Dec 24, 2021",NA,NA,NA,NA,"Mainichi Broadcasting System, TOHO animation, Shueisha, Sumzap","Crunchyroll","MAPPA","Action, Fantasy",NA,"Shounen","1 hr. 44 min.","R - 17+ (violence & profanity)",227,789459,9163,99,137,"https://myanimelist.net/anime/48561/Jujutsu_Kaisen_0_Movie","https://cdn.myanimelist.net/r/50x70/images/anime/1121/119044.jpg?s=1ff4db7140a7d31a110576b2699c87c1"
50330,142,"Bungou Stray Dogs 4th Season",NA,8.46,"TV","Manga",13,"Finished Airing","Jan 4, 2023","Mar 29, 2023","Winter","2023","Wednesdays at 23:00 (JST)","WOWOW, Lantis, Movic, Glovision, Crunchyroll, Kadokawa, Sony Music Solutions, Bandai Namco Music Live",NA,"Bones","Action, Mystery, Supernatural","Adult CastAdult Cast, Organized Crime, Super Power","Seinen","23 min. per ep.","R - 17+ (violence & profanity)",918,251899,3013,15,20,"https://myanimelist.net/anime/50330/Bungou_Stray_Dogs_4th_Season","https://cdn.myanimelist.net/r/50x70/images/anime/1263/132759.jpg?s=69958a08d37c2dde50c4efecf95ef172"
392,143,"Yuu☆Yuu☆Hakusho","Yu Yu Hakusho, Ghost Fighter, Poltergeist Report, YuYu Hakusho",8.46,"TV","Manga",112,"Finished Airing","Oct 10, 1992","Jan 7, 1995","Fall","1992","Unknown","Yomiko Advertising, Fuji TV","Funimation","Pierrot","Action, Fantasy",NA,"Shounen","24 min. per ep.","PG-13 - Teens 13 or older",291,665519,22164,140,161,"https://myanimelist.net/anime/392/Yuu☆Yuu☆Hakusho","https://cdn.myanimelist.net/r/50x70/images/anime/1228/111372.jpg?s=564b60dca1108a5de9706ee146556481"
40434,144,"Mo Dao Zu Shi: Wanjie Pian","Grandmaster of Demonic Cultivation 3, The Founder of Diabolism 3, Mo Dao Zu Shi 3rd Season, Mo Dao Zu Shi Final Arc",8.46,"ONA","Web novel",12,"Finished Airing","Aug 7, 2021","Oct 16, 2021",NA,NA,NA,"Tencent Penguin Pictures",NA,"B.CMAY PICTURES","Action, Adventure, Drama, Fantasy, Mystery","Historical, Mythology, Reincarnation",NA,"24 min. per ep.","R - 17+ (violence & profanity)",2364,75579,1552,12,14,"https://myanimelist.net/anime/40434/Mo_Dao_Zu_Shi__Wanjie_Pian","https://cdn.myanimelist.net/r/50x70/images/anime/1634/116782.jpg?s=f3e813705fd0d84678835c9f3d36f3dd"
10165,145,"Nichijou","Everyday",8.46,"TV","Manga",26,"Finished Airing","Apr 3, 2011","Sep 25, 2011","Spring","2011","Sundays at 02:20 (JST)","Lantis, Kadokawa Shoten, Movic, Rakuonsha, Kadokawa Pictures Japan, KlockWorx, Animation Do","Funimation, Bandai Entertainment","Kyoto Animation",NA,"Gag Humor, School","Shounen","23 min. per ep.","PG-13 - Teens 13 or older",186,868294,23017,209,247,"https://myanimelist.net/anime/10165/Nichijou","https://cdn.myanimelist.net/r/50x70/images/anime/3/75617.jpg?s=a6141f357026aca2496b1a9debaf9d2b"
31181,146,"Owarimonogatari","End Story",8.45,"TV","Light novel",12,"Finished Airing","Oct 4, 2015","Dec 20, 2015","Fall","2015","Sundays at 00:00 (JST)","Aniplex","Aniplex of America","Shaft","Comedy, Mystery, Supernatural",NA,NA,"26 min. per ep.","R - 17+ (violence & profanity)",460,467513,2831,29,34,"https://myanimelist.net/anime/31181/Owarimonogatari","https://cdn.myanimelist.net/r/50x70/images/anime/8/76479.jpg?s=06972a9be6f61b90db15c82e26ffffa8"
40059,147,"Golden Kamuy 3rd Season",NA,8.45,"TV","Manga",12,"Finished Airing","Oct 5, 2020","Dec 21, 2020","Fall","2020","Mondays at 23:00 (JST)","Magic Capsule, NBCUniversal Entertainment Japan, Twin Engine","Funimation","Geno Studio","Action, Adventure","Adult CastAdult Cast, Historical, Military","Seinen","23 min. per ep.","R - 17+ (violence & profanity)",1398,159436,1426,22,23,"https://myanimelist.net/anime/40059/Golden_Kamuy_3rd_Season","https://cdn.myanimelist.net/r/50x70/images/anime/1763/108108.jpg?s=22d3f08e16a4dc2ae42c578afb5601a3"
11577,148,"Steins;Gate Movie: Fuka Ryouiki no Déjà vu","Steins Gate Movie",8.45,"Movie","Visual novel",1,"Finished Airing","Apr 20, 2013",NA,NA,NA,NA,"Frontier Works, Media Factory, Movic, AT-X, Kadokawa Pictures Japan, MAGES.","Funimation","White Fox","Drama, Sci-Fi",NA,NA,"1 hr. 30 min.","PG-13 - Teens 13 or older",356,579946,2589,72,91,"https://myanimelist.net/anime/11577/Steins_Gate_Movie__Fuka_Ryouiki_no_Déjà_vu","https://cdn.myanimelist.net/r/50x70/images/anime/1611/112806.jpg?s=c9538c011d7fc90662a6ba3bf7fe7939"
38475,149,"Yuru Camp△ Movie","Eiga Yuru Camp",8.45,"Movie","Manga",1,"Finished Airing","Jul 1, 2022",NA,NA,NA,NA,"DeNA",NA,"C-Station",NA,"Adult CastAdult Cast, CGDCT, Iyashikei",NA,"2 hr.","PG-13 - Teens 13 or older",2467,70136,382,11,11,"https://myanimelist.net/anime/38475/Yuru_Camp△_Movie","https://cdn.myanimelist.net/r/50x70/images/anime/1052/123863.jpg?s=aab79fe08e11f51ac87c32b4074b4762"
36999,150,"Zoku Owarimonogatari",NA,8.45,"Movie","Light novel",6,"Finished Airing","Nov 10, 2018",NA,NA,NA,NA,"Aniplex, Kodansha","Aniplex of America","Shaft","Comedy, Mystery, Supernatural",NA,NA,"28 min. per ep.","R - 17+ (violence & profanity)",1055,218244,959,23,27,"https://myanimelist.net/anime/36999/Zoku_Owarimonogatari","https://cdn.myanimelist.net/r/50x70/images/anime/1022/96168.jpg?s=f029ef4f042b18083f8378d1047dd780"
38040,151,"Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu","KonoSuba Movie, Eiga Kono Subarashii Sekai ni Shukufuku wo!, Kono Subarashii Sekai ni Shukufuku wo! Movie",8.44,"Movie","Light novel",1,"Finished Airing","Aug 30, 2019",NA,NA,NA,NA,"Nippon Columbia, Toranoana, MAGES., 81 Produce, Sammy, Kadokawa Media House, Kadokawa, Sony Music Solutions",NA,"J.C.Staff","Adventure, Comedy, Fantasy","Isekai, Parody, Reincarnation",NA,"1 hr. 30 min.","PG-13 - Teens 13 or older",245,743037,4751,71,77,"https://myanimelist.net/anime/38040/Kono_Subarashii_Sekai_ni_Shukufuku_wo_Movie__Kurenai_Densetsu","https://cdn.myanimelist.net/r/50x70/images/anime/1638/119321.jpg?s=9d54492700ed5fa0d7ce691a7ecaac6d"
42203,152,"Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2","Re: Life in a different world from zero 2nd Season, ReZero 2nd Season, Re:Zero - Starting Life in Another World 2",8.44,"TV","Light novel",12,"Finished Airing","Jan 6, 2021","Mar 24, 2021","Winter","2021","Wednesdays at 22:30 (JST)","AT-X, Memory-Tech, Hakuhodo DY Music & Pictures, Kadokawa Media House, Kadokawa",NA,"White Fox","Drama, Fantasy, Suspense","Isekai, Psychological, Time Travel",NA,"29 min. per ep.","R - 17+ (violence & profanity)",194,842606,12144,111,166,"https://myanimelist.net/anime/42203/Re_Zero_kara_Hajimeru_Isekai_Seikatsu_2nd_Season_Part_2","https://cdn.myanimelist.net/r/50x70/images/anime/1724/117421.jpg?s=7cb81cc30fde7c71dfa4279cdcc18262"
20583,153,"Haikyuu!!","High Kyuu!!, HQ!!",8.44,"TV","Manga",25,"Finished Airing","Apr 6, 2014","Sep 21, 2014","Spring","2014","Sundays at 17:00 (JST)","Dentsu, Mainichi Broadcasting System, Movic, TOHO animation, Shueisha, Spacey Music Entertainment","Sentai Filmworks","Production I.G",NA,"School, Team Sports","Shounen","24 min. per ep.","PG-13 - Teens 13 or older",36,1904127,71758,303,325,"https://myanimelist.net/anime/20583/Haikyuu","https://cdn.myanimelist.net/r/50x70/images/anime/7/76014.jpg?s=ef5c00cb929dcd690c87f56e6d1b0c8a"
26055,154,"JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season","JoJo's Bizarre Adventure Part 3, JoJo's Bizarre Adventure: Stardust Crusaders - Egypt Arc",8.44,"TV","Manga",24,"Finished Airing","Jan 10, 2015","Jun 20, 2015","Winter","2015","Saturdays at 00:30 (JST)","Yomiko Advertising, Warner Bros. Japan, KlockWorx, Medicos Entertainment, Shueisha","VIZ Media","David Production","Action, Adventure, Supernatural",NA,"Shounen","23 min. per ep.","R - 17+ (violence & profanity)",132,1072490,20245,69,88,"https://myanimelist.net/anime/26055/JoJo_no_Kimyou_na_Bouken_Part_3__Stardust_Crusaders_2nd_Season","https://cdn.myanimelist.net/r/50x70/images/anime/11/75045.jpg?s=f50d24a2193eebe6b4cf0324cc93333c"
49310,155,"Fruits Basket: Prelude","Kyouko to Katsuya no Monogatari, The Story of Kyoko and Katsuya",8.43,"Movie","Manga",1,"Finished Airing","Feb 18, 2022",NA,NA,NA,NA,"TV Tokyo, TV Osaka, Funimation, Nihon Ad Systems, Hakusensha, Avex Pictures, 8PAN","Crunchyroll","TMS Entertainment","Drama, Romance",NA,"Shoujo","1 hr. 28 min.","PG-13 - Teens 13 or older",2017,97558,787,30,41,"https://myanimelist.net/anime/49310/Fruits_Basket__Prelude","https://cdn.myanimelist.net/r/50x70/images/anime/1034/120096.jpg?s=e71de341b6c0e5917e24da0be9af35dd"
21899,156,"Gintama: Yorinuki Gintama-san on Theater 2D","Shinsengumi Douran Hen, Kabuki Chou Shitennou Hen, Kabuki-chou Devas Hen, Gintama: The Best of Gintama on Theater 2D",8.43,"Movie","Manga",2,"Finished Airing","Aug 26, 2012",NA,NA,NA,NA,"None found, add some",NA,"Sunrise","Action, Comedy, Sci-Fi","Gag Humor, Historical, Parody, Samurai","Shounen","1 hr. 36 min. per ep.","PG-13 - Teens 13 or older",3219,43179,45,0,2,"https://myanimelist.net/anime/21899/Gintama__Yorinuki_Gintama-san_on_Theater_2D","https://cdn.myanimelist.net/r/50x70/images/anime/1172/90571.jpg?s=ca93bbed324d77e2e4bf81178e7f4ba2"
37105,157,"Grand Blue",NA,8.43,"TV","Manga",12,"Finished Airing","Jul 14, 2018","Sep 29, 2018","Summer","2018","Saturdays at 02:55 (JST)","Mainichi Broadcasting System, Kodansha, NBCUniversal Entertainment Japan, Avex Pictures, Q-Tec, JR East Marketing & Communications, GYAO!",NA,"Zero-G",NA,NA,"Seinen","24 min. per ep.","PG-13 - Teens 13 or older",243,748613,18958,140,166,"https://myanimelist.net/anime/37105/Grand_Blue","https://cdn.myanimelist.net/r/50x70/images/anime/1302/94882.jpg?s=3fc1cd740bf7ba7389dcd7aa9576af4e"
2246,158,"Mononoke",NA,8.43,"TV","Original",12,"Finished Airing","Jul 13, 2007","Sep 28, 2007","Summer","2007","Fridays at 00:45 (JST)","Dentsu, SKY Perfect Well Think, Fuji TV, Asmik Ace, Sony Music Entertainment","Discotek Media","Toei Animation","Horror, Mystery, Supernatural","Adult CastAdult Cast, Historical, Mythology, Psychological",NA,"22 min. per ep.","R - 17+ (violence & profanity)",723,316107,7977,91,95,"https://myanimelist.net/anime/2246/Mononoke","https://cdn.myanimelist.net/r/50x70/images/anime/3/20713.jpg?s=3938ebc2f550dbab2563df778857ee86"
24687,159,"Mushishi Zoku Shou: Odoro no Michi","Mushishi Zoku Shou Special, Mushi-shi Zoku Shou: Odoro no Michi, Mushishi Zoku Shou Episode 11 and 12, Mushishi Next Passage: Path of Thorns",8.43,"Special","Manga",1,"Finished Airing","Aug 20, 2014",NA,NA,NA,NA,"Aniplex, Kodansha, Delfi Sound","Aniplex of America","Artland","Adventure, Mystery, Slice of Life, Supernatural","Adult CastAdult Cast, Historical, Iyashikei","Seinen","47 min.","PG-13 - Teens 13 or older",2007,98292,119,4,5,"https://myanimelist.net/anime/24687/Mushishi_Zoku_Shou__Odoro_no_Michi","https://cdn.myanimelist.net/r/50x70/images/anime/8/63539.jpg?s=68a1b75daf7fbe8bc816301a2888eef4"
